"Folder","SizeGB"
"C:\Users\PCCPPPCCC\.cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\EBWebView\Default\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\kilo.kwai-log-0.1.3-universal","0.01"
"C:\Users\PCCPPPCCC\.codex\cache\remote_plugin_catalog","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\imandra.imandra-code-logician-0.2.4","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\minovativetechnologies.minovative-mind-vscode-3.3.5-universal","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache","0.01"
"C:\Users\PCCPPPCCC\.codex\cache","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\zippytechnologiesllc.autoclaw-3.6.15-universal","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\saropa.saropa-log-capture-9.2.3-universal","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\EBWebView\GrShaderCache","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\yonghe.airalogy-markdown-studio-0.5.11-win32-x64","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\menuinst\_legacy\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\conda_pypi\cli\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\filelock\_soft_rw\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\frozendict\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.WindowsAppRuntime.1.7_8wekyb3d8bbwe\AC\INetCache","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\exceptiongroup\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\hpack\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\h11\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\h2\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\conda_rattler_solver\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\filelock\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\conda_pypi\package_extractors\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\conda_self\health_checks\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\distro\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.WindowsAppRuntime.1.7_8wekyb3d8bbwe\AC\Temp","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\conda_pypi\dependencies\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\conda_self\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\conda_self\cli\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\conda_pypi\health_checks\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\httpcore\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\jinja2\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\libmambapy\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.WindowsAlarms_8wekyb3d8bbwe\AC\INetCache","0"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.WindowsAlarms_8wekyb3d8bbwe\AC\Temp","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\installer\__pycache__","0"
